,Argument,Debate,Scheme,id,prediction_w_evidence,p_True_w_evidence,p__True_w_evidence,p_False_w_evidence,p__False_w_evidence,p_None_w_evidence,p__None_w_evidence,p_Support_w_evidence,p__Support_w_evidence,p_Refute_w_evidence,p__Refute_w_evidence,targeted_jaccard_sim,prediction_wo_evidence,p_True_wo_evidence,p__True_wo_evidence,p_False_wo_evidence,p__False_wo_evidence,p_None_wo_evidence,p__None_wo_evidence,p_Support_wo_evidence,p__Support_wo_evidence,p_Refute_wo_evidence,p__Refute_wo_evidence,evidence_stance,diff_p_None_scaled,diff_p_True_scaled,diff_p_False_scaled
10,"Countries, like Canada, use checks like requiring people to be ""mentally competent"" and ""suffering intolerably"".",Should euthanasia be legalized?,0,11,"False. The argument is against euthanasia,",0.0001311164087383,0.2075802087783813,0.0001820371107896,0.3422419130802154,0.0001005304438876,0.2707356214523315,9.60713322228912e-08,1.660459383856505e-05,2.229366771189234e-07,6.490733358077705e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.43317356775716,-0.738452582280611,7.778262519388085e-05
11,The current medical standards in countries with legal euthanasia are too easily attainable.,Should euthanasia be legalized?,0,12,None. I am not sure if the current medical,5.674385465681553e-05,0.0672836378216743,0.0002351967559661,0.3416945040225982,0.0001566748105688,0.369459867477417,5.8233847965993846e-08,1.1349485248501878e-05,2.802706546845002e-07,5.99334598518908e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,-0.11661164058592485,-0.8868089143094474,0.00013094781351090045
12,"States such as Oregon have ""Death with Dignity"" regulations that set the standards for a person to become eligible for euthanasia.",Should euthanasia be legalized?,0,13,None. I am not sure if I agree with,6.621427746722475e-05,0.0903680548071861,0.0001626065641175,0.3203825652599334,0.0001390847755828,0.3745651841163635,1.4259755687362485e-07,2.6338220777688548e-05,2.8805499141526525e-07,8.979987615020946e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,insufficient-neutral,-0.21579052002356877,-0.8679175745098866,5.8350052431309046e-05
13,Quality of life is something too difficult to compute and can not be valued or 'measured' neither by experts since it involves feelings.,Should euthanasia be legalized?,1,14,None. (The question is not related to the,0.0001978623186005,0.1491296589374542,0.000299356150208,0.2536780834197998,0.0002462436386849,0.2965797483921051,9.037073311901622e-08,9.363227945868856e-06,5.050329150435573e-07,5.780658102594316e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,6.889919653700398e-05,-0.6053096710631981,0.0001951138978752938
14,"This is our life, therefore we should be able to decide when to end it.",Should euthanasia be legalized?,1,15,None. I am not sure if I agree with,0.0002178035210818,0.2388505637645721,0.0001848474494181,0.2243793457746505,0.0001250740460818,0.279244601726532,1.5958850951847128e-07,1.918072484841105e-05,2.719999372402526e-07,4.305591573938728e-05,0.5,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.29478800087673857,-0.5655315070226207,8.059325686613376e-05
15,The ability to choose when we die is an integral part of our human freedom.,Should euthanasia be legalized?,1,16,None. (The question is not directly related to,0.0002160305011784,0.2622312903404236,0.0001156327998614,0.1448178738355636,0.0001094789331546,0.279143750667572,2.048416973821077e-07,2.590214717201889e-05,2.446850260184874e-07,5.031928594689816e-05,0.0,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.38271879953940424,-0.569068278520267,1.1371390057940906e-05
16,God gave life so only he can take it.,Should euthanasia be legalized?,4,17,False. (The argument is based on a religious,7.181511318776757e-05,0.0775338560342788,0.0003562588244676,0.4224314391613006,0.000150849475176,0.2685137391090393,5.0901743264830663e-08,6.177847353683319e-06,2.0609446949038107e-07,2.8902804842800837e-05,0.0,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,-0.14945695539434828,-0.8567451809561377,0.00025202250557403394
17,"Deuteronomy 32:29 states, ""It is I who bring both death and life.""",Should euthanasia be legalized?,4,18,False. The argument is based on a biblical passage,0.0001033605658449,0.1197200194001197,0.0002680969191715,0.4178639054298401,0.000123706398881,0.2697932124137878,3.76746207564338e-08,4.506005552684655e-06,1.3660213937782828e-07,2.870219395845197e-05,0.0,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,-0.30249928268768056,-0.7938191767843032,0.0001638514073303905
18,"Certain deities (e. g. Moloch, Kukulkan) even fancy human sacrifice.",Should euthanasia be legalized?,0,19,False. (I do not agree with the question,0.0001319915172643,0.1413932293653488,0.0002772515290416,0.3554625511169433,0.0001804110070224,0.3236523270606994,3.2299872998464714e-08,3.476475285424385e-06,1.871479042847568e-07,2.6920659365714528e-05,0.0,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,not_applicable,3.054886947551447e-06,-0.736706939783215,0.00017300697178340284
19,Euthanasia is a selfish act.,Should euthanasia be legalized?,1,20,None. (The question is not related to the,6.004811439197511e-05,0.0794311761856079,9.823216532822698e-05,0.1483969688415527,0.0001999907690333,0.5343980193138123,9.098675235463817e-08,1.8385317162028517e-05,2.597038815110864e-07,5.729831173084676e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,2.2638122175680308e-05,-0.8802176675728924,-0.057838864090443344
20,Euthanasia is assisted suicide and suicide is a rejection of the value of the life of the patient and those of everyone who cares about them.,Should euthanasia be legalized?,7,21,False. (The argument is not a reason to,0.000116741975944,0.1069673150777816,0.0003458148858044,0.3912701904773712,0.0001725334586808,0.2953462302684784,7.735347651305348e-08,9.810013580136e-06,4.243395039793541e-07,6.15187018411234e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,-0.02719493673082159,-0.7671263067572628,0.00024157747788513788
21,"Ethically, doctors should not do anything to a patient that will not benefit them.",Should euthanasia be legalized?,1,22,False. (Note: This is a classic example,6.174597365316004e-05,0.0626240000128746,0.0003841963771265,0.4115625619888305,0.0001458244951209,0.2575492858886719,5.192131169451387e-08,6.23426149104489e-06,1.853397009199398e-07,2.838001273630653e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,insufficient-neutral,-0.17778958187621627,-0.8768308244638792,0.0002799629713784158
22,"Euthanasia does not necessarily have to be performed by doctors or nurses, and as such the guiding morality doesn't necessarily spring from the hippocratic oath.",Should euthanasia be legalized?,6,23,None. (I'm not sure if the argument,0.0001580198004376,0.2057866901159286,0.0001567900908412,0.2857065200805664,0.0001250039495062,0.3187286555767059,6.221723225507958e-08,9.342700650449842e-06,1.623275807105529e-07,3.4442211472196504e-05,0.5,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,insufficient-neutral,-0.2951832303248867,-0.6847864340497699,5.253297265117344e-05
23,Legal euthanasia is better than alternatives for those seeking to end their lives.,Should euthanasia be legalized?,6,24,True. (Note: This answer assumes that the,0.0002344072127016,0.2981933355331421,0.0001216088639921,0.172581061720848,0.0001081611553672,0.2672987878322601,2.175422793015969e-07,3.390173151274212e-05,3.83292899641674e-07,8.293004066217691e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.3901488998437056,-0.5324109181538742,1.7348077333568244e-05
24,Legalised euthanasia is safer than forcing people to seek the alternative option themselves.,Should euthanasia be legalized?,2,25,True. (Note: The question is about the,0.0002847774012479,0.2910922169685364,0.0001512441376689,0.2064152956008911,0.0001273603411391,0.2489843666553497,1.8558736769591638e-07,2.587482231319882e-05,5.705338708139607e-07,0.000103948485048,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.2818970554052082,-0.4319338468925773,4.698644118310702e-05
25,Badly implemented suicides can cause direct collateral damage.,Should euthanasia be legalized?,6,26,None. (The question is not related to the,0.0001117448409786,0.1284240782260894,0.0001401594345225,0.2437060624361038,0.0001757993159117,0.421086311340332,7.239784594048615e-08,1.2246995538589545e-05,3.102115897490876e-07,5.842714381287806e-05,0.0,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,-0.008780870992931459,-0.7770944545945353,3.5900582196276674e-05
26,Many who might look to end their lives through euthanasia might not end their lives where it is not legal.,Should euthanasia be legalized?,3,27,None. I am not sure if the argument is,0.0001889044215204,0.259835422039032,0.0001051411381922,0.2087836265563964,0.0001101869784179,0.3336352705955505,1.6991947404676466e-07,2.988902087963652e-05,2.472313553880668e-07,6.427148764487356e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,,-0.37872658827540645,-0.6231786385863439,8.78634386801588e-07
27,"In this study, of 56 attempted suicides, 55 were from falling and 1 gunshot wound, and many had significant injuries and an increased likeihood of further suicide attempts.",Should euthanasia be legalized?,0,28,None. (The question is not related to the,0.000160428637173,0.1691915392875671,0.0002028008020715,0.3016165196895599,0.000205994452699,0.3695482909679413,4.106255602209785e-08,5.320669970387826e-06,1.542136374155234e-07,3.134443613816984e-05,0.0,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,insufficient-neutral,2.864287082355593e-05,-0.6799813525659644,9.854848157786344e-05
28,People may be more inclined to favor euthanasia and make less effort to preserve their lives to the end.,Should euthanasia be legalized?,5,29,None. (I don't have enough information to,0.0001206376109621,0.1672368049621582,0.0001244670565938,0.235841691493988,0.0001399420725647,0.3768739402294159,2.0753748231072683e-07,4.0408533095614985e-05,2.949702491150674e-07,7.203600398497656e-05,0.5,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,-0.21095677443535427,-0.7593554008182897,2.0206567968920853e-05
29,Legalised euthanasia is less stigmatising than suicide or the non-legal alternatives.,Should euthanasia be legalized?,1,30,True. Legalised euthanasia is less st,0.0003478052094578,0.4254988729953766,0.0001004294099402,0.1746243834495544,7.463280053343624e-05,0.1692517548799514,2.0921915222515966e-07,3.553053829818964e-05,3.93169813150962e-07,9.002433944260702e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.5791937007464344,-0.30620770292294813,-0.03676472332839713
30,"People should have the right to die with dignity when their dignity is violated by degrading living conditions; 
Therefore, euthanasia is not a violation of dignity of life, on the contrary it's the highest form of respect for it.",Should euthanasia be legalized?,1,31,None. (I am not sure or cannot answer,0.0001674667873885,0.2778530120849609,0.0001377544249407,0.2232611775398254,8.756203897064552e-05,0.3148487210273742,4.6985046964209693e-08,6.805016255384544e-06,9.01249066487253e-08,2.450580541335512e-05,0.5,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.5062940515299816,-0.6659418434602863,3.349532183578884e-05
31,"Life has no inherent value, so it cannot be devalued.",Should euthanasia be legalized?,1,32,None. (The argument is about the value of,0.0001830962864914,0.1813981533050537,0.0002425631682854,0.2257536500692367,0.000166711048223,0.2898734211921692,1.384165244644464e-07,1.723135937936604e-05,3.682577585095714e-07,5.519064143300057e-05,0.25,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.060023759714415786,-0.6347645471176897,0.00013831499395155407
32,"The cost of palliative care is extremely high, thus many people who opt for euthanasia are more likely to be poor.",Should euthanasia be legalized?,3,33,None. (The question is not related to the,9.330652392236516e-05,0.0946333259344101,0.0001637580426177,0.2270135432481765,0.0002516596287023,0.4731368720531463,1.088247714164936e-07,1.801777398213744e-05,3.198538252036087e-07,6.215554458322003e-05,0.5,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,7.431614728670652e-05,-0.8138747039893688,5.9501651000164696e-05
33,"In 2014, the Lithuanian health minister proposed that ""euthanasia might be needed for poor people who cannot access palliative care"".",Should euthanasia be legalized?,0,34,None. (The question is not relevant to the,6.81560268276371e-05,0.1474857926368713,0.0001055621323757,0.275539755821228,9.839471749728546e-05,0.3885733187198639,4.1481936108311857e-08,8.203920515370555e-06,1.653510111054857e-07,5.104651063447818e-05,0.5,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,supports,-0.4452155534806329,-0.86404422611695,1.2996724688247978e-06
34,It is immoral to let people die simply because they cannot afford pain-relieving therapies. Palliative care should be made more accessible instead of legalizing euthanasia.,Should euthanasia be legalized?,1,35,False. (The argument is against legalizing euth,3.762405685847625e-05,0.0439208187162876,0.0003569671243894,0.5477538108825684,0.0001158902596216,0.243064284324646,3.8124905898939694e-08,5.9996805248374585e-06,2.0893843100111559e-07,4.433197682374157e-05,0.75,True. I agree with the question. Euth,0.0005013102781958,0.3898335695266723,0.0001042625954141,0.0918730199337005,0.0001773566618794,0.2119488269090652,1.5629390759386297e-07,1.4276736692409033e-05,3.532471453127073e-07,3.631479557952844e-05,refutes,-0.34656945843735076,-0.9249485628064837,0.0002527308793527226
35,"Humans have caused irreparable damage to the environment, and are causing constant harm, pain, and suffering to many other living organisms.
 All of this could be avoided if they didn't exist.",Would the world be a better place without humans?,2,36,"False. The argument is a straw man, as",2.0087212760699916e-05,0.0280647855252027,0.0004003226931672,0.6906551718711853,1.6394706108258106e-05,0.0371798016130924,1.3026925316239613e-08,2.475230303389253e-06,4.359865357628223e-08,1.017970407701796e-05,0.3333333333333333,False. I believe that humans have a unique capacity,0.0002596170525066,0.1781636178493499,0.0003836890973616,0.2802907228469848,0.0002382380043854,0.2115745395421981,4.205320180972194e-08,2.281499064338277e-06,2.866807449208864e-07,2.3223046810016967e-05,supports,-0.9311834979874318,-0.9226275294062617,1.6639980384653913e-05
36,"Without humans, animals and plants would be able to live and grow without the risks associated with human generated waste and anthropogenic climate change.",Would the world be a better place without humans?,2,37,False. The statement is incorrect because it assumes that,0.0001155865102191,0.1307796686887741,0.0004227978643029,0.5092244744300842,7.944136450532824e-05,0.1505264639854431,3.2255627502308926e-08,3.291770099167479e-06,2.0396139177591976e-07,2.7347166906110942e-05,0.5555555555555556,False. I believe that humans have a unique capacity,0.0002596170525066,0.1781636178493499,0.0003836890973616,0.2802907228469848,0.0002382380043854,0.2115745395421981,4.205320180972194e-08,2.281499064338277e-06,2.866807449208864e-07,2.3223046810016967e-05,supports,-0.6665462141094199,-0.5547807468611425,3.912377830848457e-05
37,Global warming would continue to exist; it exists regardless of the impact of humans.,Would the world be a better place without humans?,3,38,False. (The argument is about the existence of,0.0001671950303716,0.1592986285686493,0.0003377432294655,0.3425458967685699,0.0001685063471086,0.262639045715332,7.034971361008503e-08,7.403652489301747e-06,2.8483674441304174e-07,3.601748903747648e-05,0.3333333333333333,False. I believe that humans have a unique capacity,0.0002596170525066,0.1781636178493499,0.0003836890973616,0.2802907228469848,0.0002382380043854,0.2115745395421981,4.205320180972194e-08,2.281499064338277e-06,2.866807449208864e-07,2.3223046810016967e-05,refutes,-0.2926974537781739,-0.35599365004211514,-0.11974765040769264
38,The impact of human activity has greatly exacerbated climate change (p. 1).,Would the world be a better place without humans?,4,39,False. (Note: This answer is based on,0.0001566389255458,0.2072007358074188,0.000260279426584,0.3159433901309967,0.0001003466677502,0.2137779891490936,4.6850068713411026e-08,5.194983259571018e-06,2.908001022206008e-07,4.871439523412846e-05,0.1111111111111111,False. I believe that humans have a unique capacity,0.0002596170525066,0.1781636178493499,0.0003836890973616,0.2802907228469848,0.0002382380043854,0.2115745395421981,4.205320180972194e-08,2.281499064338277e-06,2.866807449208864e-07,2.3223046810016967e-05,supports,-0.578796556791719,-0.3966539407429028,-0.32163976413772083
39,"Without humans, a variety of species, habitats, and environments would have been changed by circumstances other than human influence and intervention. 
There is no guarantee that those natural changes would have been necessarily better than the changes caused by humans.",Would the world be a better place without humans?,3,40,False. (I think this is a trick question,8.12910366221331e-05,0.1552393287420272,0.0002815255429595,0.5950931310653687,3.750964970095083e-05,0.1286979168653488,1.4483042320989624e-08,2.532699227231205e-06,4.2985767834125e-08,1.1484570677566808e-05,0.6666666666666666,False. I believe that humans have a unique capacity,0.0002596170525066,0.1781636178493499,0.0003836890973616,0.2802907228469848,0.0002382380043854,0.2115745395421981,4.205320180972194e-08,2.281499064338277e-06,2.866807449208864e-07,2.3223046810016967e-05,refutes,-0.8425538788501976,-0.6868809816717778,-0.2662665035431488
40,The Earth would be able to heal and become a better place because the root cause for ecocide would simply not exist.,Would the world be a better place without humans?,2,41,False. The world would not be a better place,0.0002103240112774,0.221812292933464,0.0003182100772392,0.3544550240039825,0.0001198390091303,0.198831245303154,5.3571323377354936e-08,4.965706011716975e-06,3.762420419661794e-07,4.692962829722092e-05,0.6666666666666666,False. I believe that humans have a unique capacity,0.0002596170525066,0.1781636178493499,0.0003836890973616,0.2802907228469848,0.0002382380043854,0.2115745395421981,4.205320180972194e-08,2.281499064338277e-06,2.866807449208864e-07,2.3223046810016967e-05,supports,-0.49697778303903506,-0.18986827233910938,-0.17065645224912565
